/Users/rohanmehta/anaconda3/envs/jax/lib/python3.11/site-packages/haliax/nn/__init__.py:159: UserWarning: target_y has dtype uint8, which is not a floating point type. This is probably a mistake.
  warnings.warn(
Step: 0 | Average Train Loss: 200634496.00 | Average Val Loss: 195769936.00
Saving checkpoint to
step: 1, loss: 9960122.0000 time: 5342.52ms, mfu: 0.00%
step: 2, loss: 9461859.0000 time: 3041.93ms, mfu: 0.00%
step: 3, loss: 9555678.0000 time: 313.94ms, mfu: 0.01%
step: 4, loss: 9786683.0000 time: 250.28ms, mfu: 0.01%
step: 5, loss: 10471158.0000 time: 239.26ms, mfu: 0.01%
step: 6, loss: 9928132.0000 time: 267.35ms, mfu: 0.02%
step: 7, loss: 9989962.0000 time: 247.05ms, mfu: 0.02%
step: 8, loss: 10311239.0000 time: 234.97ms, mfu: 0.02%
step: 9, loss: 9657335.0000 time: 237.57ms, mfu: 0.02%
step: 10, loss: 10193244.0000 time: 243.96ms, mfu: 0.03%
step: 11, loss: 10324733.0000 time: 256.21ms, mfu: 0.03%
step: 12, loss: 9890460.0000 time: 255.80ms, mfu: 0.03%
step: 13, loss: 9685747.0000 time: 234.34ms, mfu: 0.03%
step: 14, loss: 10040424.0000 time: 236.72ms, mfu: 0.03%
step: 15, loss: 9608993.0000 time: 244.44ms, mfu: 0.03%
step: 16, loss: 10296306.0000 time: 247.73ms, mfu: 0.03%
step: 17, loss: 9702808.0000 time: 237.99ms, mfu: 0.04%
step: 18, loss: 10303416.0000 time: 241.35ms, mfu: 0.04%
step: 19, loss: 10365251.0000 time: 235.15ms, mfu: 0.04%
step: 20, loss: 10198219.0000 time: 233.45ms, mfu: 0.04%
step: 21, loss: 10464044.0000 time: 244.29ms, mfu: 0.04%
step: 22, loss: 8530032.0000 time: 255.39ms, mfu: 0.04%
step: 23, loss: 9582692.0000 time: 239.98ms, mfu: 0.04%
step: 24, loss: 9614668.0000 time: 240.71ms, mfu: 0.04%
step: 25, loss: 9681482.0000 time: 234.91ms, mfu: 0.04%
step: 26, loss: 9575581.0000 time: 243.43ms, mfu: 0.04%
step: 27, loss: 10213148.0000 time: 236.96ms, mfu: 0.04%
step: 28, loss: 9932398.0000 time: 242.58ms, mfu: 0.04%
step: 29, loss: 10154866.0000 time: 235.85ms, mfu: 0.04%
step: 30, loss: 9921730.0000 time: 248.34ms, mfu: 0.04%
step: 31, loss: 9757540.0000 time: 244.77ms, mfu: 0.04%
step: 32, loss: 9792378.0000 time: 385.01ms, mfu: 0.04%
step: 33, loss: 9951580.0000 time: 253.91ms, mfu: 0.04%
step: 34, loss: 9774599.0000 time: 272.21ms, mfu: 0.04%
step: 35, loss: 10025502.0000 time: 273.76ms, mfu: 0.04%
step: 36, loss: 10324740.0000 time: 247.53ms, mfu: 0.04%
step: 37, loss: 10032614.0000 time: 237.76ms, mfu: 0.04%
step: 38, loss: 9746876.0000 time: 400.25ms, mfu: 0.04%
step: 39, loss: 10285646.0000 time: 249.08ms, mfu: 0.04%
step: 40, loss: 10199644.0000 time: 446.40ms, mfu: 0.04%
step: 41, loss: 10326162.0000 time: 258.94ms, mfu: 0.04%
step: 42, loss: 10055368.0000 time: 240.31ms, mfu: 0.04%
step: 43, loss: 9788110.0000 time: 253.72ms, mfu: 0.04%
step: 44, loss: 9572734.0000 time: 238.46ms, mfu: 0.04%
step: 45, loss: 9989959.0000 time: 246.93ms, mfu: 0.04%
step: 46, loss: 10000632.0000 time: 248.50ms, mfu: 0.04%
step: 47, loss: 10166947.0000 time: 234.63ms, mfu: 0.04%
step: 48, loss: 9874111.0000 time: 238.24ms, mfu: 0.04%
step: 49, loss: 10279242.0000 time: 235.23ms, mfu: 0.04%
step: 50, loss: 10442736.0000 time: 243.24ms, mfu: 0.04%
Step: 50 | Average Train Loss: 201377952.00 | Average Val Loss: 198878144.00
Saving checkpoint to
step: 51, loss: 9736218.0000 time: 5240.81ms, mfu: 0.04%
step: 52, loss: 10307687.0000 time: 355.75ms, mfu: 0.04%
step: 53, loss: 9522275.0000 time: 249.95ms, mfu: 0.04%
step: 54, loss: 9749011.0000 time: 249.04ms, mfu: 0.04%
step: 55, loss: 9877652.0000 time: 257.88ms, mfu: 0.04%
step: 56, loss: 10545088.0000 time: 250.36ms, mfu: 0.04%
step: 57, loss: 10056070.0000 time: 243.51ms, mfu: 0.04%
step: 58, loss: 9908936.0000 time: 259.97ms, mfu: 0.04%
step: 59, loss: 10208170.0000 time: 250.28ms, mfu: 0.04%
step: 60, loss: 10558581.0000 time: 452.18ms, mfu: 0.04%
step: 61, loss: 10389418.0000 time: 311.68ms, mfu: 0.04%
step: 62, loss: 10011286.0000 time: 305.52ms, mfu: 0.04%
step: 63, loss: 10395820.0000 time: 256.31ms, mfu: 0.04%
step: 64, loss: 10164106.0000 time: 261.96ms, mfu: 0.04%
step: 65, loss: 9770328.0000 time: 233.61ms, mfu: 0.04%
step: 66, loss: 10316926.0000 time: 245.36ms, mfu: 0.04%
step: 67, loss: 9957990.0000 time: 244.72ms, mfu: 0.04%
step: 68, loss: 9621785.0000 time: 241.23ms, mfu: 0.04%
