/Users/rohanmehta/anaconda3/envs/jax/lib/python3.11/site-packages/haliax/nn/__init__.py:159: UserWarning: target_y has dtype uint8, which is not a floating point type. This is probably a mistake.
  warnings.warn(
Step: 0 | Average Train Loss: 200634496.00 | Average Val Loss: 195769936.00
Saving checkpoint to
step: 1, loss: 9960122.0000 time: 5080.31ms, mfu: 0.00%
step: 2, loss: 9461859.0000 time: 2915.65ms, mfu: 0.00%
step: 3, loss: 9555678.0000 time: 298.56ms, mfu: 0.01%
step: 4, loss: 9786683.0000 time: 465.55ms, mfu: 0.01%
step: 5, loss: 10471158.0000 time: 460.53ms, mfu: 0.01%
step: 6, loss: 9928132.0000 time: 518.27ms, mfu: 0.01%
step: 7, loss: 9989962.0000 time: 326.45ms, mfu: 0.01%
step: 8, loss: 10311239.0000 time: 425.84ms, mfu: 0.01%
step: 9, loss: 9657335.0000 time: 293.83ms, mfu: 0.02%
step: 10, loss: 10193244.0000 time: 332.13ms, mfu: 0.02%
step: 11, loss: 10324733.0000 time: 380.70ms, mfu: 0.02%
step: 12, loss: 9890460.0000 time: 292.29ms, mfu: 0.02%
step: 13, loss: 9685747.0000 time: 265.75ms, mfu: 0.02%
step: 14, loss: 10040424.0000 time: 253.26ms, mfu: 0.02%
step: 15, loss: 9608993.0000 time: 272.47ms, mfu: 0.03%
step: 16, loss: 10296306.0000 time: 290.53ms, mfu: 0.03%
step: 17, loss: 9702808.0000 time: 270.01ms, mfu: 0.03%
step: 18, loss: 10303416.0000 time: 258.68ms, mfu: 0.03%
step: 19, loss: 10365251.0000 time: 263.69ms, mfu: 0.03%
step: 20, loss: 10198219.0000 time: 272.02ms, mfu: 0.03%
step: 21, loss: 10464044.0000 time: 246.11ms, mfu: 0.03%
step: 22, loss: 8530032.0000 time: 242.14ms, mfu: 0.03%
step: 23, loss: 9582692.0000 time: 259.53ms, mfu: 0.03%
step: 24, loss: 9614668.0000 time: 260.69ms, mfu: 0.04%
step: 25, loss: 9681482.0000 time: 257.32ms, mfu: 0.04%
step: 26, loss: 9575581.0000 time: 277.80ms, mfu: 0.04%
step: 27, loss: 10213148.0000 time: 318.50ms, mfu: 0.04%
step: 28, loss: 9932398.0000 time: 232.71ms, mfu: 0.04%
step: 29, loss: 10154866.0000 time: 244.87ms, mfu: 0.04%
step: 30, loss: 9921730.0000 time: 234.78ms, mfu: 0.04%
step: 31, loss: 9757540.0000 time: 240.66ms, mfu: 0.04%
step: 32, loss: 9792378.0000 time: 234.23ms, mfu: 0.04%
step: 33, loss: 9951580.0000 time: 234.16ms, mfu: 0.04%
step: 34, loss: 9774599.0000 time: 239.68ms, mfu: 0.04%
step: 35, loss: 10025502.0000 time: 256.53ms, mfu: 0.04%
step: 36, loss: 10324740.0000 time: 264.80ms, mfu: 0.04%
step: 37, loss: 10032614.0000 time: 256.19ms, mfu: 0.04%
step: 38, loss: 9746876.0000 time: 274.58ms, mfu: 0.04%
step: 39, loss: 10285646.0000 time: 274.49ms, mfu: 0.04%
step: 40, loss: 10199644.0000 time: 250.83ms, mfu: 0.04%
step: 41, loss: 10326162.0000 time: 245.87ms, mfu: 0.04%
step: 42, loss: 10055368.0000 time: 241.38ms, mfu: 0.04%
step: 43, loss: 9788110.0000 time: 237.68ms, mfu: 0.04%
step: 44, loss: 9572734.0000 time: 240.68ms, mfu: 0.04%
step: 45, loss: 9989959.0000 time: 292.00ms, mfu: 0.04%
step: 46, loss: 10000632.0000 time: 255.68ms, mfu: 0.04%
step: 47, loss: 10166947.0000 time: 252.71ms, mfu: 0.04%
step: 48, loss: 9874111.0000 time: 245.28ms, mfu: 0.04%
step: 49, loss: 10279242.0000 time: 241.63ms, mfu: 0.04%
step: 50, loss: 10442736.0000 time: 242.88ms, mfu: 0.04%
