Step: 0 | Average Train Loss: 101752.34 | Average Val Loss: 99284.04
Saving checkpoint to
step: 1, loss: 5050.0039 time: 2266.88ms, mfu: 0.00%
/Users/rohanmehta/anaconda3/envs/jax/lib/python3.11/site-packages/haliax/nn/__init__.py:159: UserWarning: target_y has dtype uint8, which is not a floating point type. This is probably a mistake.
  warnings.warn(
step: 2, loss: 4800.0625 time: 2333.47ms, mfu: 0.00%
step: 3, loss: 4846.5029 time: 56.34ms, mfu: 0.00%
step: 4, loss: 4963.6797 time: 58.93ms, mfu: 0.00%
step: 5, loss: 5310.7852 time: 53.14ms, mfu: 0.01%
step: 6, loss: 5034.5186 time: 50.77ms, mfu: 0.01%
step: 7, loss: 5066.3271 time: 50.55ms, mfu: 0.01%
step: 8, loss: 5229.6396 time: 49.88ms, mfu: 0.01%
step: 9, loss: 4896.3926 time: 62.80ms, mfu: 0.01%
step: 10, loss: 5169.8301 time: 50.70ms, mfu: 0.01%
step: 11, loss: 5236.5640 time: 51.36ms, mfu: 0.02%
step: 12, loss: 5016.3984 time: 54.45ms, mfu: 0.02%
step: 13, loss: 4912.5552 time: 58.24ms, mfu: 0.02%
step: 14, loss: 5092.4443 time: 83.14ms, mfu: 0.02%
step: 15, loss: 4872.8447 time: 85.13ms, mfu: 0.02%
step: 16, loss: 5222.0742 time: 56.96ms, mfu: 0.02%
step: 17, loss: 4920.5127 time: 52.55ms, mfu: 0.02%
step: 18, loss: 5225.6729 time: 52.84ms, mfu: 0.02%
step: 19, loss: 5258.0205 time: 51.02ms, mfu: 0.02%
step: 20, loss: 5172.3545 time: 50.63ms, mfu: 0.02%
step: 21, loss: 5307.5908 time: 58.70ms, mfu: 0.02%
step: 22, loss: 4325.4551 time: 53.20ms, mfu: 0.02%
step: 23, loss: 4859.3096 time: 55.36ms, mfu: 0.02%
step: 24, loss: 4876.9873 time: 56.52ms, mfu: 0.02%
step: 25, loss: 4910.4883 time: 58.29ms, mfu: 0.02%
step: 26, loss: 4856.4712 time: 105.66ms, mfu: 0.02%
step: 27, loss: 5179.4434 time: 56.44ms, mfu: 0.02%
step: 28, loss: 5037.5581 time: 56.00ms, mfu: 0.02%
step: 29, loss: 5150.2773 time: 58.99ms, mfu: 0.02%
step: 30, loss: 5031.3525 time: 62.64ms, mfu: 0.02%
step: 31, loss: 4950.0547 time: 59.20ms, mfu: 0.02%
step: 32, loss: 4965.2632 time: 55.90ms, mfu: 0.02%
step: 33, loss: 5047.6416 time: 53.04ms, mfu: 0.02%
step: 34, loss: 4957.4141 time: 52.92ms, mfu: 0.02%
step: 35, loss: 5084.6050 time: 55.38ms, mfu: 0.02%
step: 36, loss: 5236.1084 time: 53.79ms, mfu: 0.02%
step: 37, loss: 5087.7827 time: 52.83ms, mfu: 0.02%
step: 38, loss: 4942.8218 time: 83.79ms, mfu: 0.02%
step: 39, loss: 5217.1787 time: 53.74ms, mfu: 0.02%
step: 40, loss: 5171.3779 time: 50.76ms, mfu: 0.02%
step: 41, loss: 5237.4800 time: 50.15ms, mfu: 0.02%
step: 42, loss: 5099.0898 time: 50.28ms, mfu: 0.02%
step: 43, loss: 4963.3896 time: 51.44ms, mfu: 0.02%
step: 44, loss: 4855.9507 time: 52.40ms, mfu: 0.02%
step: 45, loss: 5067.4502 time: 52.67ms, mfu: 0.02%
step: 46, loss: 5071.4424 time: 51.70ms, mfu: 0.02%
step: 47, loss: 5156.6650 time: 51.06ms, mfu: 0.02%
step: 48, loss: 5007.8574 time: 52.83ms, mfu: 0.02%
step: 49, loss: 5214.4658 time: 51.20ms, mfu: 0.02%
step: 50, loss: 5295.7402 time: 51.73ms, mfu: 0.02%
step: 51, loss: 4937.7119 time: 50.29ms, mfu: 0.02%
step: 52, loss: 5227.5605 time: 50.80ms, mfu: 0.02%
step: 53, loss: 4828.7632 time: 51.98ms, mfu: 0.02%
step: 54, loss: 4944.6162 time: 53.99ms, mfu: 0.02%
step: 55, loss: 5010.3887 time: 51.81ms, mfu: 0.02%
step: 56, loss: 5347.0649 time: 52.26ms, mfu: 0.02%
step: 57, loss: 5099.9097 time: 52.70ms, mfu: 0.02%
step: 58, loss: 5025.7349 time: 50.16ms, mfu: 0.02%
step: 59, loss: 5177.4087 time: 50.63ms, mfu: 0.02%
step: 60, loss: 5355.5591 time: 49.61ms, mfu: 0.02%
step: 61, loss: 5268.7744 time: 50.10ms, mfu: 0.02%
step: 62, loss: 5077.5732 time: 50.45ms, mfu: 0.02%
step: 63, loss: 5272.6416 time: 51.16ms, mfu: 0.03%
step: 64, loss: 5154.8706 time: 50.16ms, mfu: 0.03%
