
Step: 0 | Average Train Loss: 4.25 | Average Val Loss: 4.24
step: 1, loss: 4.2598 time: 1748.99ms, mfu: 0.00%
step: 2, loss: 4.2342 time: 2081.14ms, mfu: 0.00%
step: 3, loss: 4.2246 time: 1845.49ms, mfu: 0.00%
step: 4, loss: 4.2469 time: 52.19ms, mfu: 0.00%
step: 5, loss: 4.2479 time: 53.99ms, mfu: 0.01%
step: 6, loss: 4.2494 time: 51.58ms, mfu: 0.01%
step: 7, loss: 4.2315 time: 50.54ms, mfu: 0.01%
step: 8, loss: 4.2516 time: 50.48ms, mfu: 0.01%
step: 9, loss: 4.2386 time: 51.70ms, mfu: 0.01%
step: 10, loss: 4.2476 time: 50.44ms, mfu: 0.01%
step: 11, loss: 4.2152 time: 50.94ms, mfu: 0.01%
step: 12, loss: 4.2488 time: 52.20ms, mfu: 0.02%
step: 13, loss: 4.2148 time: 51.94ms, mfu: 0.02%
step: 14, loss: 4.2218 time: 51.35ms, mfu: 0.02%
step: 15, loss: 4.2330 time: 51.34ms, mfu: 0.02%
step: 16, loss: 4.2028 time: 50.84ms, mfu: 0.02%
step: 17, loss: 4.2078 time: 51.18ms, mfu: 0.02%
step: 18, loss: 4.2010 time: 54.23ms, mfu: 0.02%
step: 19, loss: 4.2122 time: 55.66ms, mfu: 0.02%
step: 20, loss: 4.2150 time: 55.84ms, mfu: 0.02%
step: 21, loss: 4.1795 time: 54.62ms, mfu: 0.02%
step: 22, loss: 4.1844 time: 55.81ms, mfu: 0.02%
step: 23, loss: 4.1906 time: 55.91ms, mfu: 0.02%
step: 24, loss: 4.1869 time: 55.47ms, mfu: 0.02%
step: 25, loss: 4.1658 time: 54.29ms, mfu: 0.02%
step: 26, loss: 4.1612 time: 55.69ms, mfu: 0.02%
step: 27, loss: 4.1267 time: 52.10ms, mfu: 0.02%
step: 28, loss: 4.1208 time: 52.47ms, mfu: 0.02%
step: 29, loss: 4.1219 time: 50.47ms, mfu: 0.02%
step: 30, loss: 4.1002 time: 51.48ms, mfu: 0.02%
step: 31, loss: 4.1210 time: 51.05ms, mfu: 0.02%
step: 32, loss: 4.0797 time: 52.05ms, mfu: 0.02%
step: 33, loss: 4.0704 time: 51.17ms, mfu: 0.02%
step: 34, loss: 4.0647 time: 51.29ms, mfu: 0.02%
step: 35, loss: 4.0411 time: 51.25ms, mfu: 0.02%
step: 36, loss: 4.0326 time: 50.96ms, mfu: 0.02%
step: 37, loss: 4.0375 time: 51.57ms, mfu: 0.02%
step: 38, loss: 3.9810 time: 51.47ms, mfu: 0.02%
step: 39, loss: 3.9668 time: 51.70ms, mfu: 0.02%
step: 40, loss: 3.9775 time: 51.51ms, mfu: 0.02%
step: 41, loss: 3.9307 time: 50.82ms, mfu: 0.02%
step: 42, loss: 3.9028 time: 50.73ms, mfu: 0.02%
step: 43, loss: 3.8927 time: 51.02ms, mfu: 0.02%
step: 44, loss: 3.8540 time: 53.05ms, mfu: 0.02%
step: 45, loss: 3.8268 time: 51.31ms, mfu: 0.02%
step: 46, loss: 3.8078 time: 51.49ms, mfu: 0.02%
step: 47, loss: 3.7684 time: 110.71ms, mfu: 0.02%
step: 48, loss: 3.7656 time: 73.63ms, mfu: 0.02%
step: 49, loss: 3.6819 time: 51.37ms, mfu: 0.02%
step: 50, loss: 3.7213 time: 51.38ms, mfu: 0.02%
step: 51, loss: 3.6784 time: 51.79ms, mfu: 0.02%
step: 52, loss: 3.6094 time: 52.43ms, mfu: 0.02%
step: 53, loss: 3.6265 time: 51.97ms, mfu: 0.02%
step: 54, loss: 3.5613 time: 50.73ms, mfu: 0.02%
step: 55, loss: 3.5508 time: 51.12ms, mfu: 0.02%
step: 56, loss: 3.5860 time: 57.69ms, mfu: 0.02%
step: 57, loss: 3.5125 time: 82.24ms, mfu: 0.02%
step: 58, loss: 3.4767 time: 50.68ms, mfu: 0.02%
step: 59, loss: 3.5098 time: 51.68ms, mfu: 0.02%
step: 60, loss: 3.4816 time: 51.99ms, mfu: 0.02%
step: 61, loss: 3.4807 time: 52.19ms, mfu: 0.02%
step: 62, loss: 3.5814 time: 50.45ms, mfu: 0.02%
step: 63, loss: 3.4861 time: 57.50ms, mfu: 0.02%
step: 64, loss: 3.4440 time: 59.02ms, mfu: 0.02%
step: 65, loss: 3.4122 time: 57.09ms, mfu: 0.02%
step: 66, loss: 3.4985 time: 55.74ms, mfu: 0.02%
step: 67, loss: 3.4637 time: 58.09ms, mfu: 0.02%
step: 68, loss: 3.4471 time: 70.65ms, mfu: 0.02%
step: 69, loss: 3.4336 time: 65.60ms, mfu: 0.02%
step: 70, loss: 3.4429 time: 63.17ms, mfu: 0.02%
step: 71, loss: 3.4151 time: 63.25ms, mfu: 0.02%
step: 72, loss: 3.3831 time: 52.16ms, mfu: 0.02%
step: 73, loss: 3.3857 time: 51.09ms, mfu: 0.02%
step: 74, loss: 3.3087 time: 53.29ms, mfu: 0.02%
step: 75, loss: 3.3735 time: 52.19ms, mfu: 0.02%
step: 76, loss: 3.4535 time: 54.34ms, mfu: 0.02%
step: 77, loss: 3.3811 time: 51.66ms, mfu: 0.02%
step: 78, loss: 3.3866 time: 52.39ms, mfu: 0.02%
step: 79, loss: 3.4379 time: 51.90ms, mfu: 0.02%
step: 80, loss: 3.3283 time: 54.41ms, mfu: 0.02%
step: 81, loss: 3.3553 time: 51.46ms, mfu: 0.02%
step: 82, loss: 3.3417 time: 52.44ms, mfu: 0.02%
step: 83, loss: 3.3187 time: 51.93ms, mfu: 0.02%
step: 84, loss: 3.3052 time: 50.21ms, mfu: 0.02%
step: 85, loss: 3.3435 time: 51.64ms, mfu: 0.02%
step: 86, loss: 3.2717 time: 51.43ms, mfu: 0.02%
step: 87, loss: 3.2844 time: 50.34ms, mfu: 0.02%
step: 88, loss: 3.4176 time: 52.42ms, mfu: 0.02%
step: 89, loss: 3.3010 time: 50.79ms, mfu: 0.02%
step: 90, loss: 3.3082 time: 51.62ms, mfu: 0.02%
step: 91, loss: 3.3382 time: 51.68ms, mfu: 0.02%
step: 92, loss: 3.2848 time: 52.48ms, mfu: 0.02%
step: 93, loss: 3.1984 time: 51.78ms, mfu: 0.02%
step: 94, loss: 3.2491 time: 51.51ms, mfu: 0.02%
step: 95, loss: 3.2223 time: 51.95ms, mfu: 0.02%
step: 96, loss: 3.2971 time: 52.29ms, mfu: 0.02%
step: 97, loss: 3.1598 time: 51.70ms, mfu: 0.02%
step: 98, loss: 3.2386 time: 50.86ms, mfu: 0.02%
step: 99, loss: 3.2224 time: 51.02ms, mfu: 0.02%
step: 100, loss: 3.1710 time: 51.04ms, mfu: 0.02%
step: 101, loss: 3.2439 time: 52.08ms, mfu: 0.02%
step: 102, loss: 3.2520 time: 55.23ms, mfu: 0.02%
step: 103, loss: 3.2018 time: 62.04ms, mfu: 0.02%
step: 104, loss: 3.1263 time: 60.41ms, mfu: 0.02%
step: 105, loss: 3.0990 time: 54.65ms, mfu: 0.02%
step: 106, loss: 3.1346 time: 51.34ms, mfu: 0.02%
step: 107, loss: 3.1420 time: 50.61ms, mfu: 0.02%
step: 108, loss: 3.1345 time: 51.25ms, mfu: 0.02%
step: 109, loss: 3.0971 time: 52.71ms, mfu: 0.02%
step: 110, loss: 3.1064 time: 55.43ms, mfu: 0.02%
step: 111, loss: 3.0626 time: 55.03ms, mfu: 0.02%
step: 112, loss: 3.0560 time: 55.19ms, mfu: 0.02%
step: 113, loss: 3.0225 time: 55.30ms, mfu: 0.02%
step: 114, loss: 3.0658 time: 54.69ms, mfu: 0.02%
step: 115, loss: 3.0485 time: 55.37ms, mfu: 0.02%
step: 116, loss: 3.0672 time: 57.04ms, mfu: 0.02%
step: 117, loss: 3.0685 time: 103.13ms, mfu: 0.02%
step: 118, loss: 2.9873 time: 55.97ms, mfu: 0.02%
step: 119, loss: 3.0647 time: 63.19ms, mfu: 0.02%
step: 120, loss: 3.0224 time: 56.00ms, mfu: 0.02%
step: 121, loss: 2.9913 time: 53.03ms, mfu: 0.02%
step: 122, loss: 3.0003 time: 51.72ms, mfu: 0.02%
step: 123, loss: 2.9548 time: 51.55ms, mfu: 0.02%
step: 124, loss: 2.9449 time: 50.78ms, mfu: 0.02%
step: 125, loss: 3.0719 time: 52.36ms, mfu: 0.02%
step: 126, loss: 2.9603 time: 53.76ms, mfu: 0.02%
step: 127, loss: 2.9796 time: 55.56ms, mfu: 0.02%
step: 128, loss: 2.9315 time: 56.82ms, mfu: 0.02%
step: 129, loss: 2.9025 time: 59.02ms, mfu: 0.02%
step: 130, loss: 2.9034 time: 55.74ms, mfu: 0.02%
step: 131, loss: 2.9421 time: 52.13ms, mfu: 0.02%
step: 132, loss: 2.9664 time: 51.86ms, mfu: 0.02%
step: 133, loss: 2.9118 time: 51.02ms, mfu: 0.02%
step: 134, loss: 2.9418 time: 51.56ms, mfu: 0.02%
step: 135, loss: 2.8603 time: 52.52ms, mfu: 0.02%
step: 136, loss: 2.8687 time: 51.33ms, mfu: 0.02%
step: 137, loss: 2.8978 time: 51.05ms, mfu: 0.02%
step: 138, loss: 2.8146 time: 51.67ms, mfu: 0.02%
step: 139, loss: 2.8788 time: 51.11ms, mfu: 0.02%
step: 140, loss: 2.8852 time: 50.85ms, mfu: 0.02%
step: 141, loss: 2.9261 time: 50.91ms, mfu: 0.02%
step: 142, loss: 2.8866 time: 50.97ms, mfu: 0.02%
step: 143, loss: 2.8631 time: 50.34ms, mfu: 0.02%
step: 144, loss: 2.8709 time: 51.18ms, mfu: 0.02%
step: 145, loss: 2.8039 time: 50.70ms, mfu: 0.02%
step: 146, loss: 2.8401 time: 51.76ms, mfu: 0.02%
step: 147, loss: 2.8638 time: 52.54ms, mfu: 0.02%
step: 148, loss: 2.7549 time: 51.94ms, mfu: 0.02%
step: 149, loss: 2.8144 time: 55.69ms, mfu: 0.02%
step: 150, loss: 2.7393 time: 56.49ms, mfu: 0.02%
step: 151, loss: 2.8063 time: 54.67ms, mfu: 0.02%
step: 152, loss: 2.8193 time: 57.44ms, mfu: 0.02%
step: 153, loss: 2.8601 time: 54.97ms, mfu: 0.02%
step: 154, loss: 2.7959 time: 52.83ms, mfu: 0.02%
step: 155, loss: 2.8149 time: 51.92ms, mfu: 0.02%
step: 156, loss: 2.7267 time: 56.24ms, mfu: 0.02%
step: 157, loss: 2.6902 time: 56.18ms, mfu: 0.02%
step: 158, loss: 2.7642 time: 55.54ms, mfu: 0.02%
step: 159, loss: 2.7923 time: 57.67ms, mfu: 0.02%
step: 160, loss: 2.7578 time: 57.52ms, mfu: 0.02%
step: 161, loss: 2.7144 time: 62.63ms, mfu: 0.02%
step: 162, loss: 2.7374 time: 61.75ms, mfu: 0.02%
step: 163, loss: 2.8301 time: 57.20ms, mfu: 0.02%
step: 164, loss: 2.6870 time: 54.33ms, mfu: 0.02%
step: 165, loss: 2.8299 time: 53.18ms, mfu: 0.02%
step: 166, loss: 2.7064 time: 52.93ms, mfu: 0.02%
step: 167, loss: 2.7107 time: 54.31ms, mfu: 0.02%
step: 168, loss: 2.6596 time: 58.43ms, mfu: 0.02%
step: 169, loss: 2.7592 time: 57.93ms, mfu: 0.02%
step: 170, loss: 2.6567 time: 59.13ms, mfu: 0.02%
step: 171, loss: 2.6243 time: 52.34ms, mfu: 0.02%
step: 172, loss: 2.7167 time: 56.31ms, mfu: 0.02%
step: 173, loss: 2.7522 time: 52.85ms, mfu: 0.02%
step: 174, loss: 2.6905 time: 54.91ms, mfu: 0.02%
step: 175, loss: 2.7374 time: 55.31ms, mfu: 0.02%
step: 176, loss: 2.6794 time: 54.21ms, mfu: 0.02%
step: 177, loss: 2.6588 time: 54.22ms, mfu: 0.02%
step: 178, loss: 2.6270 time: 53.59ms, mfu: 0.02%
step: 179, loss: 2.6351 time: 53.46ms, mfu: 0.02%
step: 180, loss: 2.7075 time: 51.40ms, mfu: 0.02%
step: 181, loss: 2.6970 time: 51.98ms, mfu: 0.02%
step: 182, loss: 2.6565 time: 53.21ms, mfu: 0.02%
step: 183, loss: 2.5524 time: 54.07ms, mfu: 0.02%
step: 184, loss: 2.7054 time: 54.24ms, mfu: 0.02%
step: 185, loss: 2.6615 time: 52.29ms, mfu: 0.02%
step: 186, loss: 2.6716 time: 53.53ms, mfu: 0.02%
step: 187, loss: 2.6316 time: 52.13ms, mfu: 0.02%
step: 188, loss: 2.7212 time: 51.58ms, mfu: 0.02%
step: 189, loss: 2.6329 time: 51.51ms, mfu: 0.02%
step: 190, loss: 2.7256 time: 51.24ms, mfu: 0.02%
step: 191, loss: 2.6723 time: 51.48ms, mfu: 0.02%
step: 192, loss: 2.6423 time: 51.34ms, mfu: 0.02%
step: 193, loss: 2.6256 time: 50.68ms, mfu: 0.02%
step: 194, loss: 2.6353 time: 51.05ms, mfu: 0.02%
step: 195, loss: 2.5009 time: 52.06ms, mfu: 0.02%
step: 196, loss: 2.6888 time: 51.74ms, mfu: 0.02%
step: 197, loss: 2.6702 time: 51.29ms, mfu: 0.02%
step: 198, loss: 2.7062 time: 51.33ms, mfu: 0.02%
step: 199, loss: 2.6692 time: 52.47ms, mfu: 0.02%
step: 200, loss: 2.6401 time: 51.83ms, mfu: 0.02%
step: 201, loss: 2.6901 time: 52.46ms, mfu: 0.02%
step: 202, loss: 2.6359 time: 53.00ms, mfu: 0.02%
step: 203, loss: 2.6068 time: 54.76ms, mfu: 0.02%
step: 204, loss: 2.7189 time: 55.40ms, mfu: 0.02%
step: 205, loss: 2.5913 time: 55.57ms, mfu: 0.02%
step: 206, loss: 2.6841 time: 54.81ms, mfu: 0.02%
step: 207, loss: 2.5916 time: 54.45ms, mfu: 0.02%
step: 208, loss: 2.5456 time: 56.61ms, mfu: 0.02%
step: 209, loss: 2.6386 time: 55.10ms, mfu: 0.02%
step: 210, loss: 2.6232 time: 55.01ms, mfu: 0.02%
step: 211, loss: 2.5675 time: 52.94ms, mfu: 0.02%
step: 212, loss: 2.5847 time: 52.52ms, mfu: 0.02%
step: 213, loss: 2.6025 time: 58.52ms, mfu: 0.02%
step: 214, loss: 2.5353 time: 53.32ms, mfu: 0.02%
step: 215, loss: 2.5657 time: 52.33ms, mfu: 0.02%
step: 216, loss: 2.6802 time: 51.15ms, mfu: 0.02%
step: 217, loss: 2.6461 time: 52.13ms, mfu: 0.02%
step: 218, loss: 2.6347 time: 51.31ms, mfu: 0.02%
step: 219, loss: 2.6069 time: 52.22ms, mfu: 0.02%
step: 220, loss: 2.5826 time: 52.68ms, mfu: 0.02%
step: 221, loss: 2.6603 time: 54.05ms, mfu: 0.02%
step: 222, loss: 2.5281 time: 57.64ms, mfu: 0.02%
step: 223, loss: 2.5440 time: 56.62ms, mfu: 0.02%
step: 224, loss: 2.6262 time: 57.15ms, mfu: 0.02%
step: 225, loss: 2.6058 time: 56.35ms, mfu: 0.02%
step: 226, loss: 2.5631 time: 57.08ms, mfu: 0.02%
step: 227, loss: 2.5457 time: 56.89ms, mfu: 0.02%
step: 228, loss: 2.5834 time: 53.27ms, mfu: 0.02%
step: 229, loss: 2.5768 time: 53.32ms, mfu: 0.02%
step: 230, loss: 2.5570 time: 54.62ms, mfu: 0.02%
step: 231, loss: 2.5277 time: 50.76ms, mfu: 0.02%
step: 232, loss: 2.6354 time: 51.74ms, mfu: 0.02%
step: 233, loss: 2.6433 time: 71.59ms, mfu: 0.02%
step: 234, loss: 2.5818 time: 51.15ms, mfu: 0.02%
step: 235, loss: 2.5033 time: 51.38ms, mfu: 0.02%
step: 236, loss: 2.5769 time: 51.52ms, mfu: 0.02%
step: 237, loss: 2.4908 time: 51.71ms, mfu: 0.02%
step: 238, loss: 2.6124 time: 51.86ms, mfu: 0.02%
step: 239, loss: 2.6129 time: 52.50ms, mfu: 0.02%
step: 240, loss: 2.5914 time: 51.83ms, mfu: 0.02%
step: 241, loss: 2.5513 time: 51.29ms, mfu: 0.02%
step: 242, loss: 2.5692 time: 51.10ms, mfu: 0.02%
step: 243, loss: 2.5170 time: 50.45ms, mfu: 0.02%
step: 244, loss: 2.5396 time: 50.81ms, mfu: 0.02%
step: 245, loss: 2.5200 time: 50.60ms, mfu: 0.02%
step: 246, loss: 2.5034 time: 51.32ms, mfu: 0.02%
step: 247, loss: 2.4970 time: 52.10ms, mfu: 0.02%
step: 248, loss: 2.5756 time: 53.29ms, mfu: 0.02%
step: 249, loss: 2.5978 time: 55.29ms, mfu: 0.02%
step: 250, loss: 2.6169 time: 56.77ms, mfu: 0.02%
step: 251, loss: 2.5562 time: 55.83ms, mfu: 0.02%
step: 252, loss: 2.5459 time: 56.36ms, mfu: 0.02%
step: 253, loss: 2.5768 time: 57.37ms, mfu: 0.02%
step: 254, loss: 2.5928 time: 58.70ms, mfu: 0.02%
step: 255, loss: 2.5038 time: 58.90ms, mfu: 0.02%
step: 256, loss: 2.5878 time: 60.72ms, mfu: 0.02%
step: 257, loss: 2.4788 time: 55.75ms, mfu: 0.02%
step: 258, loss: 2.5342 time: 56.79ms, mfu: 0.02%
step: 259, loss: 2.5946 time: 55.43ms, mfu: 0.02%
step: 260, loss: 2.7054 time: 58.24ms, mfu: 0.02%
step: 261, loss: 2.5099 time: 61.17ms, mfu: 0.02%
step: 262, loss: 2.5193 time: 55.87ms, mfu: 0.02%
step: 263, loss: 2.5031 time: 59.34ms, mfu: 0.02%
step: 264, loss: 2.5179 time: 66.03ms, mfu: 0.02%
step: 265, loss: 2.6062 time: 60.49ms, mfu: 0.02%
step: 266, loss: 2.5913 time: 57.09ms, mfu: 0.02%
step: 267, loss: 2.5321 time: 57.05ms, mfu: 0.02%
step: 268, loss: 2.5393 time: 57.08ms, mfu: 0.02%
step: 269, loss: 2.6046 time: 57.01ms, mfu: 0.02%
step: 270, loss: 2.5420 time: 54.47ms, mfu: 0.02%
step: 271, loss: 2.5073 time: 56.00ms, mfu: 0.02%
step: 272, loss: 2.4709 time: 62.18ms, mfu: 0.02%
step: 273, loss: 2.5953 time: 59.42ms, mfu: 0.02%
step: 274, loss: 2.4791 time: 57.48ms, mfu: 0.02%
step: 275, loss: 2.5718 time: 53.58ms, mfu: 0.02%
step: 276, loss: 2.5585 time: 54.74ms, mfu: 0.02%
step: 277, loss: 2.5147 time: 55.30ms, mfu: 0.02%
step: 278, loss: 2.4994 time: 55.99ms, mfu: 0.02%
step: 279, loss: 2.5381 time: 56.47ms, mfu: 0.02%
step: 280, loss: 2.5364 time: 60.56ms, mfu: 0.02%
step: 281, loss: 2.5197 time: 56.99ms, mfu: 0.02%
step: 282, loss: 2.5371 time: 55.24ms, mfu: 0.02%
step: 283, loss: 2.5551 time: 52.73ms, mfu: 0.02%
step: 284, loss: 2.5921 time: 52.61ms, mfu: 0.02%
step: 285, loss: 2.5567 time: 52.29ms, mfu: 0.02%
step: 286, loss: 2.5100 time: 54.12ms, mfu: 0.02%
step: 287, loss: 2.5279 time: 55.12ms, mfu: 0.02%
step: 288, loss: 2.6160 time: 53.04ms, mfu: 0.02%
step: 289, loss: 2.5502 time: 52.22ms, mfu: 0.02%
step: 290, loss: 2.4691 time: 52.71ms, mfu: 0.02%
step: 291, loss: 2.3943 time: 54.90ms, mfu: 0.02%
step: 292, loss: 2.4798 time: 61.03ms, mfu: 0.02%
step: 293, loss: 2.4943 time: 62.15ms, mfu: 0.02%
step: 294, loss: 2.6193 time: 57.83ms, mfu: 0.02%
step: 295, loss: 2.4840 time: 57.73ms, mfu: 0.02%
step: 296, loss: 2.5199 time: 58.10ms, mfu: 0.02%
step: 297, loss: 2.4621 time: 56.12ms, mfu: 0.02%
step: 298, loss: 2.5306 time: 55.03ms, mfu: 0.02%
step: 299, loss: 2.5466 time: 57.12ms, mfu: 0.02%
step: 300, loss: 2.5099 time: 61.35ms, mfu: 0.02%
step: 301, loss: 2.4728 time: 63.67ms, mfu: 0.02%
step: 302, loss: 2.4899 time: 57.06ms, mfu: 0.02%
step: 303, loss: 2.5280 time: 55.91ms, mfu: 0.02%
step: 304, loss: 2.4676 time: 52.95ms, mfu: 0.02%
step: 305, loss: 2.5665 time: 51.36ms, mfu: 0.02%
step: 306, loss: 2.5608 time: 50.52ms, mfu: 0.02%
step: 307, loss: 2.5140 time: 50.90ms, mfu: 0.02%
step: 308, loss: 2.4991 time: 51.25ms, mfu: 0.02%
